image_path,caption
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0001.jpg,a large body of water near a rocky coastline
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0002.jpg,a view of the ocean from a hill
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0003.jpg,a man is surfing in the ocean with a surfboard
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0004.jpg,a view of the ocean from a plane
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0005.jpg,a car is driving through the sand dunes
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0006.jpg,a stream with rocks and water in the fore
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0007.jpg,white flowers in a vase on a table
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0008.jpg,the sahara desert in morocco
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0009.jpg,the milky and the milky in the night sky
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0010.jpg,the moon is seen over the top of the pinnacle rock
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0011.jpg,a white chair sitting on top of a sandy beach
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0012.jpg,a person is walking through the fog
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0013.jpg,a road in the woods with trees and leaves
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0014.jpg,milky over the mountains
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0015.jpg,a view of the mountains and lake at dusk
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0016.jpg,a mountain with a few trees and grass
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0017.jpg,a tall tower with a man on top of it
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0018.jpg,a view of the city from a rooftop
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0019.jpg,a bouquet of tulips
C:\Users\Kiranjit\Downloads\Image_Search\testimages\0020.jpg,"the golden gate bridge in san, california"
